iso3st,year,region_t,incomegroup_t,cpi_t,exr_t,rgdp_t,gdppc_t,trade_t,credit_t,pop_t,gcon_t,agri_t,remit_t,fertilizer_t,arable_t,land_t,industry_t,service_t,manuf_t,USA_TRADE,USA_ARMS,USA_MILITARY,USA_FINANCIAL,USA_TRAVEL,GBR_TRADE,GBR_ARMS,GBR_MILITARY,GBR_FINANCIAL,GBR_TRAVEL,DEU_TRADE,DEU_ARMS,DEU_MILITARY,DEU_FINANCIAL,DEU_TRAVEL,FRA_TRADE,FRA_ARMS,FRA_MILITARY,FRA_FINANCIAL,FRA_TRAVEL,ITA_TRADE,ITA_ARMS,ITA_MILITARY,ITA_FINANCIAL,ITA_TRAVEL,CAN_TRADE,CAN_ARMS,CAN_MILITARY,CAN_FINANCIAL,CAN_TRAVEL,JPN_TRADE,JPN_ARMS,JPN_MILITARY,JPN_FINANCIAL,JPN_TRAVEL,EU_TRADE,EU_ARMS,EU_MILITARY,EU_FINANCIAL,EU_TRAVEL
ABW,1960,Latin America & Caribbean,High income,,,,,,,54608,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABW,1961,Latin America & Caribbean,High income,,,,,,,55811,,,,,11.111111,180,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABW,1962,Latin America & Caribbean,High income,,,,,,,56682,,,,,11.111111,180,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABW,1963,Latin America & Caribbean,High income,,,,,,,57475,,,,,11.111111,180,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABW,1964,Latin America & Caribbean,High income,,,,,,,58178,,,,,11.111111,180,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABW,1965,Latin America & Caribbean,High income,,,,,,,58782,,,,,11.111111,180,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABW,1966,Latin America & Caribbean,High income,,,,,,,59291,,,,,11.111111,180,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABW,1967,Latin America & Caribbean,High income,,,,,,,59522,,,,,11.111111,180,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABW,1968,Latin America & Caribbean,High income,,,,,,,59471,,,,,11.111111,180,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABW,1969,Latin America & Caribbean,High income,,,,,,,59330,,,,,11.111111,180,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABW,1970,Latin America & Caribbean,High income,,,,,,,59106,,,,,11.111111,180,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABW,1971,Latin America & Caribbean,High income,,,,,,,58816,,,,,11.111111,180,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABW,1972,Latin America & Caribbean,High income,,,,,,,58855,,,,,11.111111,180,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABW,1973,Latin America & Caribbean,High income,,,,,,,59365,,,,,11.111111,180,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABW,1974,Latin America & Caribbean,High income,,,,,,,60028,,,,,11.111111,180,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABW,1975,Latin America & Caribbean,High income,,,,,,,60715,,,,,11.111111,180,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABW,1976,Latin America & Caribbean,High income,,,,,,,61193,,,,,11.111111,180,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABW,1977,Latin America & Caribbean,High income,,,,,,,61465,,,,,11.111111,180,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABW,1978,Latin America & Caribbean,High income,,,,,,,61738,,,,,11.111111,180,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABW,1979,Latin America & Caribbean,High income,,,,,,,62006,,,,,11.111111,180,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABW,1980,Latin America & Caribbean,High income,,,,,,,62267,,,,,11.111111,180,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABW,1981,Latin America & Caribbean,High income,,,,,,,62614,,,,,11.111111,180,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
